,,,,,,Play,Play,Play,Play
Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,28,1992,28,1371,15.2,15
Fábio Silva\Fabio-Silva,pt POR,FW,Wolves,18,2002,32,1369,15.2,11
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,29,1990,22,1363,15.1,16
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31,1989,16,1350,15.0,15
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33,1987,15,1350,15.0,15
Matt Ritchie\Matt-Ritchie,sct SCO,DFMF,Newcastle Utd,30,1989,18,1350,15.0,15
Ben Davies\Ben-Davies,wls WAL,DF,Tottenham,27,1993,20,1346,15.0,14
Aymeric Laporte\Aymeric-Laporte,es ESP,DF,Manchester City,26,1994,16,1344,14.9,14
Tyler Roberts\Tyler-Roberts,wls WAL,MFFW,Leeds United,21,1999,27,1340,14.9,14
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,30,1989,22,1331,14.8,15
Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,27,1993,25,1331,14.8,15
Oliver McBurnie\Oliver-McBurnie,sct SCO,FW,Sheffield Utd,24,1996,23,1324,14.7,12
Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,26,1994,16,1317,14.6,15
Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23,1997,18,1310,14.6,14
Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,20,2000,24,1306,14.5,15
Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,25,1994,16,1288,14.3,14
Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,29,1991,26,1288,14.3,14
Oliver Burke\Oliver-Burke,sct SCO,FW,Sheffield Utd,23,1997,25,1269,14.1,14
Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,31,1988,20,1266,14.1,13
Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,31,1989,31,1265,14.1,12
Paul Dummett\Paul-Dummett,wls WAL,DF,Newcastle Utd,28,1991,15,1255,13.9,14
Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,28,1991,18,1246,13.8,13
Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,30,1989,18,1242,13.8,15
Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22,1998,27,1240,13.8,15
Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,28,1992,17,1240,13.8,13
Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22,1998,20,1235,13.7,15
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,22,1997,15,1230,13.7,14
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,22,1997,21,1208,13.4,13
Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,26,1993,15,1204,13.4,14
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,28,1991,14,1198,13.3,13
Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,28,1991,16,1189,13.2,14
Fernandinho\Fernandinho,br BRA,MF,Manchester City,35,1985,21,1188,13.2,12
Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,19,2001,24,1179,13.1,13
Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,27,1993,23,1172,13.0,15
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,31,1989,13,1170,13.0,13
Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,25,1994,21,1166,13.0,12
Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,26,1994,22,1156,12.8,13
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29,1991,13,1145,12.7,13
Robin Koch\Robin-Koch,de GER,DFMF,Leeds United,24,1996,17,1132,12.6,13
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20,2000,27,1128,12.5,12
Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,22,1997,21,1127,12.5,14
Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,23,1997,13,1125,12.5,12
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22,1998,15,1120,12.4,13
Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,21,1998,21,1115,12.4,13
Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,23,1996,19,1112,12.4,12
Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20,2000,16,1110,12.3,12
Willian José\Willian-Jose,br BRA,FW,Wolves,28,1991,17,1110,12.3,12
Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,31,1988,20,1106,12.3,12
James Milner\James-Milner,eng ENG,MFDF,Liverpool,34,1986,26,1070,11.9,11
Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,19,2000,23,1059,11.8,10
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28,1992,19,1052,11.7,12
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,22,1040,11.6,12
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,21,1999,22,1020,11.3,10
Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,26,1993,12,1006,11.2,12
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,23,1996,13,1004,11.2,12
Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28,1992,11,990,11.0,11
Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,20,1999,14,978,10.9,11
Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19,2001,14,969,10.8,12
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,13,960,10.7,11
Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,26,1993,15,959,10.7,10
Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,26,1994,13,953,10.6,11
Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,24,1996,18,945,10.5,11
Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26,1994,16,937,10.4,10
Ryan Fraser\Ryan-Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,18,928,10.3,9
Gareth Bale\Gareth-Bale,wls WAL,FW,Tottenham,31,1989,20,920,10.2,10
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26,1994,12,916,10.2,10
Daniel James\Daniel-James,wls WAL,FW,Manchester Utd,22,1997,15,910,10.1,11
Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,26,1993,10,900,10.0,10
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,21,1998,15,896,10.0,10
Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,19,2000,11,886,9.8,11
Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,26,1993,11,877,9.7,9
Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,21,1998,14,866,9.6,9
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,24,1996,15,861,9.6,9
Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,21,1999,12,844,9.4,8
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,32,1987,14,839,9.3,8
Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,26,1994,13,825,9.2,10
Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,29,1991,10,823,9.1,10
James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,29,1990,16,821,9.1,10
Josh Maja\Josh-Maja,ng NGA,FWMF,Fulham,21,1998,15,810,9.0,9
Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,30,1989,10,809,9.0,9
Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,20,2000,9,801,8.9,9
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,10,797,8.9,9
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20,2000,17,791,8.8,9
Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,36,1984,13,767,8.5,8
Tom Cairney\Tom-Cairney,sct SCO,MF,Fulham,29,1991,10,759,8.4,9
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,25,1995,10,753,8.4,8
Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,26,1994,13,749,8.3,9
Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,33,1986,17,748,8.3,8
Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,28,1991,10,746,8.3,8
Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,21,1999,18,745,8.3,7
Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,34,1986,16,735,8.2,7
Joe Rodon\Joe-Rodon,wls WAL,DF,Tottenham,22,1997,12,733,8.1,8
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,26,1993,18,728,8.1,7
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25,1994,12,722,8.0,8
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32,1988,8,720,8.0,8
Dennis Praet\Dennis-Praet,be BEL,MFFW,Leicester City,26,1994,15,718,8.0,10
Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,28,1992,23,717,8.0,5
Mark Noble\Mark-Noble,eng ENG,MF,West Ham,33,1987,21,712,7.9,8
Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Southampton,25,1995,10,711,7.9,9
Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34,1986,9,702,7.8,8
Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,28,1991,10,691,7.7,9
Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,27,1992,9,690,7.7,8
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,26,1993,16,669,7.4,7
Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,19,2001,9,661,7.3,7
Jakub Moder\Jakub-Moder,pl POL,DFMF,Brighton,21,1999,12,647,7.2,7
Kevin Long\Kevin-Long,ie IRL,DF,Burnley,29,1990,8,637,7.1,7
Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25,1995,7,630,7.0,7
Robin Olsen\Robin-Olsen,se SWE,GK,Everton,30,1990,7,630,7.0,7
Tim Ream\Tim-Ream,us USA,DF,Fulham,32,1987,7,630,7.0,7
Jacob Ramsey\Jacob-Ramsey,eng ENG,MFFW,Aston Villa,19,2001,22,626,7.0,6
Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,31,1989,13,623,6.9,7
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,15,620,6.9,7
Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23,1997,7,590,6.6,6
Martinelli\Martinelli,br BRA,FW,Arsenal,19,2001,14,589,6.5,7
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,585,6.5,6
Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,18,2002,12,577,6.4,5
Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,27,1992,14,569,6.3,6
Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,27,1993,17,566,6.3,5
Hal Robson-Kanu\Hal-Robson-Kanu,wls WAL,FWMF,West Brom,31,1989,19,561,6.2,2
Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32,1988,12,559,6.2,7
Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MFFW,Liverpool,28,1991,14,556,6.2,5
James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,31,1989,8,553,6.1,6
Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,23,1997,8,550,6.1,7
Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,24,1995,11,546,6.1,5
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,26,1993,21,528,5.9,6
Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,37,1982,10,526,5.8,6
Robert Snodgrass\Robert-Snodgrass,sct SCO,MFFW,West Brom,32,1987,8,526,5.8,6
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23,1997,19,524,5.8,4
Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,20,2000,14,523,5.8,5
Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,25,1995,10,520,5.8,7
Vitinha\Vitinha,pt POR,MF,Wolves,20,2000,19,520,5.8,5
Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,29,1990,18,514,5.7,4
Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,32,1988,9,509,5.7,6
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,26,1994,7,495,5.5,7
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,22,1997,11,490,5.4,5
Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,21,1999,6,487,5.4,6
Jamie Shackleton\Jamie-Shackleton,eng ENG,MFDF,Leeds United,20,1999,13,461,5.1,3
Bernard\Bernard,br BRA,MFFW,Everton,27,1992,12,455,5.1,3
DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27,1993,6,436,4.8,5
Pablo Hernández\Pablo-Hernandez,es ESP,MFFW,Leeds United,35,1985,16,427,4.7,3
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,21,1999,17,423,4.7,4
Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,20,2000,11,414,4.6,4
Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,9,404,4.5,4
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,31,1989,18,392,4.4,4
Eric García\Eric-Garcia,es ESP,DF,Manchester City,19,2001,6,383,4.3,3
Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,20,2000,5,377,4.2,4
Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,30,1989,15,375,4.2,1
Josh Onomah\Josh-Onomah,eng ENG,MF,Fulham,23,1997,11,374,4.2,4
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29,1991,5,370,4.1,5
Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4,360,4.0,4
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20,2000,14,355,3.9,0
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,22,1997,10,316,3.5,4
Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,25,1995,11,315,3.5,2
Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,25,1995,9,308,3.4,3
Lys Mousset\Lys-Mousset,fr FRA,FWMF,Sheffield Utd,24,1996,11,296,3.3,2
Morgan Sanson\Morgan-Sanson,fr FRA,MF,Aston Villa,25,1994,9,294,3.3,3
Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Liverpool,25,1995,9,293,3.3,2
Daniel Jebbison\Daniel-Jebbison,eng ENG,FW,Sheffield Utd,17,2003,4,284,3.2,3
Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,23,1997,9,281,3.1,1
Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,22,1998,15,277,3.1,1
Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,30,1990,4,276,3.1,3
Phil Bardsley\Phil-Bardsley,sct SCO,DF,Burnley,35,1985,4,274,3.0,3
Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3,270,3.0,3
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,33,1986,3,270,3.0,3
Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,22,1997,3,270,3.0,3
Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,32,1988,3,270,3.0,3
Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33,1987,3,270,3.0,3
Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28,1992,3,270,3.0,3
Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,30,1989,8,266,3.0,2
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,20,1999,6,264,2.9,2
Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28,1992,4,263,2.9,3
Billy Gilmour\Billy-Gilmour,sct SCO,MF,Chelsea,19,2001,5,261,2.9,3
Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,31,1989,7,261,2.9,3
Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,17,2002,4,255,2.8,3
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,26,1993,13,253,2.8,2
Neco Williams\Neco-Williams,wls WAL,DF,Liverpool,19,2001,6,249,2.8,3
Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,20,1999,7,238,2.6,2
Lee Peltier\Lee-Peltier,eng ENG,DF,West Brom,33,1986,4,229,2.5,3
Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,29,1991,4,225,2.5,3
Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,23,1997,7,221,2.5,2
Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,28,1991,7,213,2.4,2
Shane Long\Shane-Long,ie IRL,FW,Southampton,33,1987,11,210,2.3,1
Bernardo\Bernardo,br BRA,DFMF,Brighton,25,1995,3,206,2.3,2
Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,19,2000,4,188,2.1,2
Owen Otasowie\Owen-Otasowie,us USA,MFFW,Wolves,19,2001,6,187,2.1,2
Divock Origi\Divock-Origi,be BEL,FW,Liverpool,25,1995,9,186,2.1,2
Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,21,1998,2,180,2.0,2
Will Norris\Will-Norris,eng ENG,GK,Burnley,26,1993,2,180,2.0,2
Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,26,1994,2,180,2.0,2
Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,23,1996,2,180,2.0,2
Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,21,1999,2,173,1.9,1
William Smallbone\William-Smallbone,ie IRL,MF,Southampton,20,2000,3,172,1.9,2
Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,21,1999,9,171,1.9,0
Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,18,2002,3,166,1.8,2
Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,18,2002,2,155,1.7,2
Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32,1988,3,148,1.6,2
Joshua King\Joshua-King,no NOR,MFFW,Everton,28,1992,11,148,1.6,0
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31,1989,5,138,1.5,0
Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,30,1989,2,123,1.4,1
Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,28,1992,5,119,1.3,1
Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,22,1998,5,118,1.3,1
Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,Leeds United,31,1988,2,113,1.3,1
Dan Nlundulu\Dan-Nlundulu,eng ENG,FW,Southampton,21,1999,13,111,1.2,0
Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,26,1994,3,103,1.1,1
Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,21,1999,3,103,1.1,1
John Ruddy\John-Ruddy,eng ENG,GK,Wolves,33,1986,2,91,1.0,1
Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27,1993,1,90,1.0,1
David Button\David-Button,eng ENG,GK,West Brom,31,1989,1,90,1.0,1
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,38,1981,1,90,1.0,1
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,34,1985,1,90,1.0,1
Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,29,1991,1,90,1.0,1
Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27,1993,1,90,1.0,1
Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,26,1994,1,90,1.0,1
Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,25,1994,2,90,1.0,0
Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,19,2000,1,90,1.0,1
Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25,1995,1,90,1.0,1
Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,19,2001,3,88,1.0,1
Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,18,2001,2,85,0.9,1
Niels Nkounkou\Niels-Nkounkou,fr FRA,DFFW,Everton,19,2000,2,81,0.9,1
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,1,80,0.9,1
Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DFFW,Everton,23,1997,4,79,0.9,1
Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,20,1999,2,71,0.8,0
Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,20,2000,1,66,0.7,1
Sam Field\Sam-Field,eng ENG,MF,West Brom,22,1998,3,62,0.7,0
Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,20,2000,4,61,0.7,0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,24,1996,1,60,0.7,1
Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29,1991,5,48,0.5,0
João Virgínia\Joao-Virginia,pt POR,GK,Everton,20,1999,1,48,0.5,0
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,28,1992,3,47,0.5,0
Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,22,1997,1,45,0.5,0
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,26,1993,2,42,0.5,0
Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17,2003,1,40,0.4,0
Joel Mumbongo\Joel-Mumbongo,se SWE,FW,Burnley,21,1999,4,40,0.4,0
Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,18,2002,3,39,0.4,0
Niall Huggins\Niall-Huggins,wls WAL,DF,Leeds United,19,2000,1,38,0.4,0
Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20,2000,2,33,0.4,0
Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,20,2000,2,32,0.4,0
Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,22,1998,2,25,0.3,0
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22,1998,1,22,0.2,0
Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,16,2004,2,20,0.2,0
Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,32,1988,1,20,0.2,0
Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24,1996,1,19,0.2,0
Wesley Moraes\Wesley-Moraes,br BRA,MFFW,Aston Villa,23,1996,3,18,0.2,0
Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,36,1984,3,18,0.2,0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,1,16,0.2,0
Neil Taylor\Neil-Taylor,wls WAL,DF,Aston Villa,31,1989,1,16,0.2,0
Tyrese Francois\Tyrese-Francois,au AUS,DF,Fulham,20,2000,1,15,0.2,0
Moise Kean\Moise-Kean,it ITA,FW,Everton,20,2000,2,15,0.2,0
Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,18,2001,1,13,0.1,0
Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,31,1989,1,13,0.1,0
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,24,1995,1,12,0.1,0
Iliman Ndiaye\Iliman-Ndiaye,fr FRA,MF,Sheffield Utd,21,1999,1,12,0.1,0
Antwoine Hackford\Antwoine-Hackford,eng ENG,FWDF,Sheffield Utd,16,2004,1,11,0.1,0
Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,16,2004,2,11,0.1,0
Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31,1989,1,10,0.1,0
Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,20,1999,1,10,0.1,0
Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,18,2002,1,9,0.1,0
José Izquierdo\Jose-Izquierdo,co COL,DF,Brighton,28,1992,1,9,0.1,0
Hannibal Mejbri\Hannibal-Mejbri,tn TUN,MF,Manchester Utd,17,2003,1,9,0.1,0
Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DFFW,Liverpool,24,1996,2,7,0.1,0
Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19,2001,1,5,0.1,0
Robert Snodgrass\Robert-Snodgrass,sct SCO,FWDF,West Ham,32,1987,3,5,0.1,0
Elliot Anderson\Elliot-Anderson,sct SCO,MF,Newcastle Utd,17,2002,1,4,0.0,0
Lewis Richardson\Lewis-Richardson,eng ENG,FWMF,Burnley,17,2003,2,4,0.0,0
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27,1993,2,3,0.0,0
Nathan Broadhead\Nathan-Broadhead,wls WAL,MF,Everton,22,1998,1,3,0.0,0
Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,18,2001,2,3,0.0,1
Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,30,1990,1,2,0.0,0
Jayson Molumby\Jayson-Molumby,ie IRL,MF,Brighton,20,1999,1,1,0.0,0
Jaden Philogene Bidace\Jaden-Philogene-Bidace,eng ENG,FW,Aston Villa,18,2002,1,1,0.0,0
Dane Scarlett\Dane-Scarlett,eng ENG,FW,Tottenham,16,2004,1,1,0.0,0
Femi Seriki\Femi-Seriki,eng ENG,DF,Sheffield Utd,18,2002,1,1,0.0,0
William Thomas Fish\William-Thomas-Fish,eng ENG,DF,Manchester Utd,17,2003,1,1,0.0,0